Date,Open,High,Low,Close,Adj Close,Volume
27-11-1998,3.55,3.55,2.71,3.4,2.253109,21000
30-11-1998,3.25,3.3,3.1,3.21,2.127199,132000
01-12-1998,3.29,3.46,3.22,3.39,2.246482,123500
02-12-1998,3.36,3.44,3.32,3.39,2.246482,75500
03-12-1998,3.44,3.49,3.37,3.39,2.246482,102000
04-12-1998,3.34,3.41,3.3,3.39,2.246482,71000
07-12-1998,3.38,3.44,3.35,3.38,2.239856,26000
08-12-1998,3.38,3.4,3.23,3.24,2.14708,32500
09-12-1998,3.29,3.34,3.23,3.24,2.14708,15000
10-12-1998,3.24,3.27,3.19,3.2,2.120573,36000
11-12-1998,3.22,3.24,3.12,3.16,2.094066,37500
14-12-1998,3.26,3.26,3.16,3.18,2.107319,18500
15-12-1998,3.2,3.2,3.15,3.15,2.087439,8500
16-12-1998,3.14,3.16,3.1,3.13,2.074185,43000
17-12-1998,3.03,3.12,3.03,3.08,2.04105,14000
18-12-1998,3.06,3.12,2.99,3,1.988037,72500
21-12-1998,3.15,3.16,3.05,3.05,2.021171,35500
22-12-1998,3.07,3.07,3,3.06,2.027798,22000
23-12-1998,3.04,3.07,3,3.04,2.014544,20000
24-12-1998,2.92,3.06,2.92,3,1.988037,29000
25-12-1998,3,3,3,3,1.988037,0
28-12-1998,3,3.07,3,3,1.988037,11000
29-12-1998,3.01,3.1,3,3.05,2.021171,24000
30-12-1998,3.13,3.54,3.13,3.41,2.259736,47000
31-12-1998,3.4,3.4,3.21,3.24,2.14708,48500
01-01-1999,3.32,3.34,3.23,3.27,2.16696,337500
04-01-1999,3.4,3.54,3.4,3.41,2.259736,50000
05-01-1999,3.36,3.36,3.17,3.2,2.120573,44000
06-01-1999,3.27,3.27,3.15,3.2,2.120573,47000
07-01-1999,3.2,3.56,3.2,3.35,2.219975,104000
08-01-1999,3.44,3.55,3.4,3.41,2.259736,220000
11-01-1999,3.6,3.65,3.41,3.51,2.326003,172500
12-01-1999,3.45,3.6,3.37,3.43,2.272989,47500
13-01-1999,3.41,3.47,3.4,3.42,2.266362,25500
14-01-1999,3.36,3.4,3.3,3.36,2.226601,9000
15-01-1999,3.4,3.4,3.13,3.19,2.113946,31000
18-01-1999,3.19,3.26,3.15,3.26,2.160334,9000
19-01-1999,3.35,3.35,3.25,3.3,2.186841,7500
20-01-1999,3.3,3.3,3.3,3.3,2.186841,0
21-01-1999,3.1,3.26,2.94,3.25,2.153707,10500
22-01-1999,3.3,3.38,3.22,3.26,2.160334,4500
